
Jun 15 06:19:00: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_solbac] [Source: 10.142.12.50] [localport: 22] at 06:19:00 GST Thu Jun 15 2023
Jun 15 06:19:10: %SYS-6-LOGOUT: User virp_solbac has exited tty session 1(10.142.12.50)
Jun 15 06:19:52: %SEC_LOGIN-5-LOGIN_SUCCESS: Login Success [user: virp_solbac] [Source: 10.142.12.50] [localport: 22] at 06:19:52 GST Thu Jun 15 2023
Jun 15 06:20:01: %SYS-6-LOGOUT: User virp_solbac has exited tty session 1(10.142.12.50)
Jun 15 07:43:34: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to up
Jun 15 14:11:20: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 14:12:32: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 14:13:13: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 14:17:49: %SW_MATM-4-MACFLAP_NOTIF: Host 2225.3a8b.cfa0 in vlan 619 is flapping between port Gi5/0/48 and port Gi1/0/46
Jun 15 14:20:06: %SW_MATM-4-MACFLAP_NOTIF: Host 2079.18f5.678e in vlan 855 is flapping between port Gi1/0/45 and port Gi1/0/47
Jun 15 14:27:55: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/48 and port Gi4/0/47
Jun 15 14:29:08: %SW_MATM-4-MACFLAP_NOTIF: Host f22c.17b7.fe18 in vlan 619 is flapping between port Gi1/0/46 and port Gi5/0/48
Jun 15 14:29:16: %SW_MATM-4-MACFLAP_NOTIF: Host f22c.17b7.fe18 in vlan 619 is flapping between port Gi5/0/47 and port Gi3/0/47
Jun 15 14:34:11: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to down
Jun 15 14:34:12: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to down
Jun 15 14:35:49: %SW_MATM-4-MACFLAP_NOTIF: Host d43b.048a.ede6 in vlan 855 is flapping between port Gi1/0/46 and port Gi3/0/45
Jun 15 14:35:58: %SW_MATM-4-MACFLAP_NOTIF: Host de65.9fb6.e952 in vlan 619 is flapping between port Gi2/0/46 and port Gi1/0/47
Jun 15 14:37:40: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/46
Jun 15 14:40:37: %SW_MATM-4-MACFLAP_NOTIF: Host 4e62.28f6.f22e in vlan 619 is flapping between port Gi2/0/45 and port Gi2/0/47
Jun 15 14:41:36: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/26, changed state to up
Jun 15 14:41:37: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/26, changed state to up
Jun 15 14:43:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/14, changed state to down
Jun 15 14:44:00: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/14, changed state to down
Jun 15 14:47:47: %SW_MATM-4-MACFLAP_NOTIF: Host 8a5c.89f3.0a9d in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/45
Jun 15 14:48:35: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/44, changed state to down
Jun 15 14:48:36: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/44, changed state to down
Jun 15 14:50:21: %SW_MATM-4-MACFLAP_NOTIF: Host 2079.18f5.2a30 in vlan 855 is flapping between port Gi5/0/47 and port Gi3/0/48
Jun 15 14:51:49: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/14, changed state to up
Jun 15 14:51:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/14, changed state to up
Jun 15 14:54:54: %SW_MATM-4-MACFLAP_NOTIF: Host fcdb.b370.7497 in vlan 619 is flapping between port Gi1/0/47 and port Gi2/0/46
Jun 15 15:06:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/28, changed state to down
Jun 15 15:07:00: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/28, changed state to down
Jun 15 15:07:33: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/28, changed state to up
Jun 15 15:07:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/28, changed state to up
Jun 15 15:07:48: %SW_MATM-4-MACFLAP_NOTIF: Host c09a.d09e.0b11 in vlan 619 is flapping between port Gi3/0/45 and port Gi4/0/48
Jun 15 15:10:29: %SW_MATM-4-MACFLAP_NOTIF: Host 2225.3a8b.cfa0 in vlan 619 is flapping between port Gi1/0/47 and port Gi5/0/48
Jun 15 15:15:21: %SW_MATM-4-MACFLAP_NOTIF: Host f025.b7a0.b7ea in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/46
Jun 15 15:17:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/26, changed state to down
Jun 15 15:17:16: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/26, changed state to down
Jun 15 15:18:47: %SW_MATM-4-MACFLAP_NOTIF: Host 6e76.feb9.43ae in vlan 619 is flapping between port Gi2/0/48 and port Gi2/0/45
Jun 15 15:20:01: %SW_MATM-4-MACFLAP_NOTIF: Host 6e76.feb9.43ae in vlan 619 is flapping between port Gi2/0/46 and port Gi4/0/47
Jun 15 15:41:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/33, changed state to down
Jun 15 15:41:23: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/33, changed state to down
Jun 15 15:45:06: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi3/0/45 and port Gi1/0/46
Jun 15 15:46:07: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi1/0/45 and port Gi5/0/47
Jun 15 16:04:22: %SW_MATM-4-MACFLAP_NOTIF: Host c62e.c256.9eaa in vlan 619 is flapping between port Gi2/0/48 and port Gi2/0/45
Jun 15 16:06:24: %SW_MATM-4-MACFLAP_NOTIF: Host 9a72.06eb.af07 in vlan 619 is flapping between port Gi3/0/45 and port Gi1/0/47
Jun 15 16:13:51: %SW_MATM-4-MACFLAP_NOTIF: Host dade.46aa.82bf in vlan 619 is flapping between port Gi3/0/45 and port Gi2/0/45
Jun 15 16:15:23: %SW_MATM-4-MACFLAP_NOTIF: Host 0e2c.d566.6059 in vlan 619 is flapping between port Gi1/0/46 and port Gi5/0/47
Jun 15 16:20:07: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/43, changed state to up
Jun 15 16:20:08: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/43, changed state to up
Jun 15 16:20:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/43, changed state to down
Jun 15 16:20:11: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/43, changed state to down
Jun 15 16:20:14: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/43, changed state to up
Jun 15 16:20:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/43, changed state to up
Jun 15 16:20:16: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/32, changed state to up
Jun 15 16:20:17: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/32, changed state to up
Jun 15 16:25:16: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/44, changed state to up
Jun 15 16:25:17: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/44, changed state to up
Jun 15 16:25:33: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/33, changed state to up
Jun 15 16:25:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/33, changed state to up
Jun 15 16:28:29: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/26, changed state to up
Jun 15 16:28:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/26, changed state to up
Jun 15 16:36:44: %SW_MATM-4-MACFLAP_NOTIF: Host b6ee.899c.eb23 in vlan 622 is flapping between port Gi1/0/46 and port Gi3/0/45
Jun 15 16:42:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/44, changed state to down
Jun 15 16:43:00: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/44, changed state to down
Jun 15 16:45:41: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet5/0/19, changed state to down
Jun 15 16:45:42: %LINK-3-UPDOWN: Interface GigabitEthernet5/0/19, changed state to down
Jun 15 16:47:26: %SW_MATM-4-MACFLAP_NOTIF: Host c09a.d09e.0b11 in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/45
Jun 15 16:51:05: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/33, changed state to down
Jun 15 16:51:06: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/33, changed state to down
Jun 15 17:00:15: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/33, changed state to up
Jun 15 17:00:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/33, changed state to up
Jun 15 17:02:22: %SMART_LIC-3-COMM_FAILED: Communications failure with the Cisco Smart License Utility (CSLU) : Unable to resolve server hostname/domain name 
Jun 15 17:08:44: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/43, changed state to down
Jun 15 17:08:45: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/43, changed state to down
Jun 15 17:14:36: %SW_MATM-4-MACFLAP_NOTIF: Host 4e62.28f6.f22e in vlan 619 is flapping between port Gi2/0/45 and port Gi3/0/45
Jun 15 17:16:09: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/10, changed state to down
Jun 15 17:16:10: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to down
Jun 15 17:29:51: %SW_MATM-4-MACFLAP_NOTIF: Host 0636.1fa8.c999 in vlan 619 is flapping between port Gi4/0/47 and port Gi2/0/45
Jun 15 17:34:13: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to up
Jun 15 17:34:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/10, changed state to up
Jun 15 17:35:08: %SW_MATM-4-MACFLAP_NOTIF: Host 8e3e.ef48.9eaa in vlan 622 is flapping between port Gi1/0/46 and port Gi3/0/45
Jun 15 17:41:56: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/26, changed state to down
Jun 15 17:41:57: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/26, changed state to down
Jun 15 17:42:26: %SW_MATM-4-MACFLAP_NOTIF: Host bae8.f8ad.bbb0 in vlan 619 is flapping between port Gi2/0/45 and port Gi4/0/47
Jun 15 17:44:08: %SW_MATM-4-MACFLAP_NOTIF: Host 1ecf.895b.9be3 in vlan 619 is flapping between port Gi2/0/45 and port Gi2/0/46
Jun 15 17:45:09: %SW_MATM-4-MACFLAP_NOTIF: Host 2293.ed5c.1149 in vlan 619 is flapping between port Gi3/0/45 and port Gi4/0/48
Jun 15 17:46:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/17, changed state to down
Jun 15 17:46:07: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/17, changed state to down
Jun 15 17:46:35: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/17, changed state to up
Jun 15 17:46:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/17, changed state to up
Jun 15 17:47:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/17, changed state to down
Jun 15 17:47:30: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/17, changed state to down
Jun 15 17:47:55: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/17, changed state to up
Jun 15 17:47:56: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/17, changed state to up
Jun 15 17:49:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/17, changed state to down
Jun 15 17:49:27: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/17, changed state to down
Jun 15 17:49:28: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/10, changed state to down
Jun 15 17:49:29: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to down
Jun 15 17:49:44: %LINK-3-UPDOWN: Interface GigabitEthernet1/0/10, changed state to up
Jun 15 17:49:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet1/0/10, changed state to up
Jun 15 17:50:21: %LINK-3-UPDOWN: Interface GigabitEthernet2/0/17, changed state to up
Jun 15 17:50:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet2/0/17, changed state to up
Jun 15 17:50:52: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 17:50:53: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 17:51:08: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/44, changed state to up
Jun 15 17:51:09: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/44, changed state to up
Jun 15 17:51:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/44, changed state to down
Jun 15 17:51:15: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/44, changed state to down
Jun 15 17:51:18: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/44, changed state to up
Jun 15 17:51:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/44, changed state to up
Jun 15 17:51:23: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 17:51:23: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 17:51:23: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 17:51:25: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 17:52:23: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 17:52:53: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 17:52:54: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 17:54:12: %SW_MATM-4-MACFLAP_NOTIF: Host 6a01.c2e2.ece0 in vlan 619 is flapping between port Gi1/0/46 and port Gi3/0/48
Jun 15 17:54:44: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 17:54:44: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 17:54:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 17:54:46: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 17:55:44: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 17:56:14: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 17:56:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 17:56:25: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 17:56:25: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 17:56:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 17:56:27: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 17:57:25: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 17:57:52: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 17:57:53: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 17:57:53: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 17:57:55: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 17:58:53: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 17:59:19: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 17:59:20: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:02:53: %SW_MATM-4-MACFLAP_NOTIF: Host de65.9fb6.e952 in vlan 619 is flapping between port Gi1/0/47 and port Gi1/0/48
Jun 15 18:02:54: %SW_MATM-4-MACFLAP_NOTIF: Host 12f2.f5c3.a5b6 in vlan 619 is flapping between port Gi4/0/47 and port Gi1/0/46
Jun 15 18:05:09: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:05:09: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:05:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:05:11: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:05:37: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:05:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:05:47: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:06:04: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:06:09: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:06:09: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:06:13: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:06:17: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:06:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:06:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:06:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:06:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:06:34: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:06:38: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:06:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:06:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:06:48: %PM-4-ERR_DISABLE: storm-control error detected on Gi4/0/9, putting Gi4/0/9 in err-disable state
Jun 15 18:06:48: %STORM_CONTROL-3-SHUTDOWN: A packet storm was detected on Gi4/0/9. The interface has been disabled.
Jun 15 18:06:49: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:06:50: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:06:59: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:07:04: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:07:05: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:07:09: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:07:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:07:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:07:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:07:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:07:23: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:07:27: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:07:29: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:07:36: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:07:48: %PM-4-ERR_RECOVER: Attempting to recover from storm-control err-disable state on Gi4/0/9
Jun 15 18:08:04: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:08:07: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:08:15: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:08:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:08:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:08:28: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:08:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:08:33: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:08:34: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:08:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:08:41: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:08:43: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:08:44: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:08:45: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to down
Jun 15 18:08:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:08:53: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:08:55: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:09:02: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:09:11: %LINK-3-UPDOWN: Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:09:11: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:09:12: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet4/0/9, changed state to up
Jun 15 18:09:14: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:09:19: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:09:38: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:09:42: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:09:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:09:47: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:09:50: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:09:55: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:09:58: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:10:00: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:10:05: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:10:07: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:10:16: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:10:18: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:10:21: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:10:30: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:10:39: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:11:03: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:11:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:11:10: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:11:13: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:11:15: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:11:20: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:11:22: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:11:26: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:11:40: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:11:45: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:11:46: %LINK-3-UPDOWN: Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:11:51: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:00: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
Jun 15 18:12:06: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to down
Jun 15 18:12:13: %LINEPROTO-5-UPDOWN: Line protocol on Interface GigabitEthernet3/0/21, changed state to up
